"Study_ID","Authors","Year","Country","N","g","SE","CI_lower","CI_upper","Weight"
"S01","Oppmann et al.",2025,"Germany",300,0.68,0.119,0.447,0.913,17.18
"S02","Zhang et al.",2020,"China",65,0.42,0.251,-0.072,0.912,3.85
"S03","Ninaus et al.",2017,"Finland",90,0.51,0.214,0.09,0.93,5.28
"S04","Kiili et al.",2018,"Finland",95,0.63,0.212,0.214,1.046,5.38
"S05","Rodríguez-Martínez et al.",2023,"Spain",127,0.57,0.181,0.215,0.925,7.39
"S06","Obersteiner et al.",2019,"Germany",221,0.45,0.136,0.183,0.717,13.05
"S07","Jordan et al.",2021,"UK",181,0.71,0.153,0.41,1.01,10.31
"S08","Gómez et al.",2020,"Spain",115,0.39,0.188,0.021,0.759,6.83
"S09","Loriente et al.",2025,"Spain",87,0.54,0.218,0.112,0.968,5.08
"S10","Shih et al.",2023,"Taiwan",142,0.61,0.172,0.273,0.947,8.22
"S11","Vessonen et al.",2021,"Finland",163,0.48,0.159,0.169,0.791,9.59
"S12","Baker et al.",2024,"USA",135,0.59,0.176,0.245,0.935,7.83
